frontend_function,frontend_evidence,backend_route_match,mapping_status,notes
regenerateSemanticRenderPlan,desktop/src/lib/api.ts:700,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateCaptionPolicy,desktop/src/lib/api.ts:704,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateLayoutCues,desktop/src/lib/api.ts:711,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateSlideCues,desktop/src/lib/api.ts:718,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateEditorialBlocks,desktop/src/lib/api.ts:725,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
autoGenerateLayoutCues,desktop/src/lib/api.ts:732,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateAnnotations,desktop/src/lib/api.ts:739,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateEducationalOverlays,desktop/src/lib/api.ts:746,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateEndCards,desktop/src/lib/api.ts:756,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getExportPresets,desktop/src/lib/api.ts:766,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
approvePlan,desktop/src/lib/api.ts:770,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
cancelRender,desktop/src/lib/api.ts:784,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
revalidatePlan,desktop/src/lib/api.ts:788,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getChapters,desktop/src/lib/api.ts:792,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getQualityReport,desktop/src/lib/api.ts:800,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getModeComparisonReport,desktop/src/lib/api.ts:804,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
uploadMaterial,desktop/src/lib/api.ts:812,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
listMaterials,desktop/src/lib/api.ts:825,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
deleteMaterial,desktop/src/lib/api.ts:829,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getSettings,desktop/src/lib/api.ts:837,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getAISettings,desktop/src/lib/api.ts:841,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateAISettings,desktop/src/lib/api.ts:845,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateDomainTerms,desktop/src/lib/api.ts:852,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getLocalTranscriptionModels,desktop/src/lib/api.ts:858,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
downloadLocalTranscriptionModel,desktop/src/lib/api.ts:862,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getLocalTranscriptionModelDownload,desktop/src/lib/api.ts:872,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
removeLocalTranscriptionModel,desktop/src/lib/api.ts:878,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
exportSectionClips,desktop/src/lib/api.ts:906,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
